Nom_fichier	Numéro_Phrase	Dynamique	Cause	Res	Obj
1965-SDAURP_CE_Oct23_GP.xml	1590	reconstruire à une échelle plus grande	none	ce centre	none
1965-SDAURP_CE_Oct23_GP.xml	1594	La constitution progressive de la vaste région urbaine du val de Seine	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1594	la création de villes nouvelles	none	villes nouvelles	none
1965-SDAURP_CE_Oct23_GP.xml	1594	la mise en place de centres urbains rénovés	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1594	centres urbains rénovés	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1594	la construction d'un réseau circulatoire moderne	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1594	une nouvelle étape de l'antique Lutèce	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1594	une transformation profonde	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1622	l'évolution souhaitée de l'agglomération	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1622	villes nouvelles	none	villes	none
1965-SDAURP_CE_Oct23_GP.xml	1622	centres urbains nouveaux	none	centres urbains	none
1965-SDAURP_CE_Oct23_GP.xml	1641	en décentrant la capitale	none	on activerait la décentralisation	none
1965-SDAURP_CE_Oct23_GP.xml	1658	l'opération actuelle de la Défense	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1658	l'implantation rapide d'immeubles de bureaux	none	immeubles de bureaux	none
1965-SDAURP_CE_Oct23_GP.xml	1658	doublent la longueur de ce centre linéaire	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1659	ce nouveau quartier	none	quartier	none
1965-SDAURP_CE_Oct23_GP.xml	1659	entre à peine dans la voie des réalisations	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1665	a été doublée	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1665	artères neuves	none	artères	none
1965-SDAURP_CE_Oct23_GP.xml	1665	redoublée	none	par des voies ferrées souterraines	none
1965-SDAURP_CE_Oct23_GP.xml	1670	les travaux	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1670	localiser des sièges sociaux importants	none	des sièges sociaux importants	none
1965-SDAURP_CE_Oct23_GP.xml	1680	créer des bureaux modernes	none	des bureaux modernes	none
1965-SDAURP_CE_Oct23_GP.xml	1684	nouveaux hôtels modernes	none	hôtels modernes	Paris intra-muros, pour conserver ce rôle dans le domaine de l'économie comme dans celui de la culture
1965-SDAURP_CE_Oct23_GP.xml	1684	de nouvelles salles de congrès	none	salles de congrès	Paris intra-muros, pour conserver ce rôle dans le domaine de l'économie comme dans celui de la culture
1965-SDAURP_CE_Oct23_GP.xml	1685	la constitution des villes nouvelles et d'un réseau de voies express	none	un réseau de voies express	none
1965-SDAURP_CE_Oct23_GP.xml	1691	Les centres urbains nouveaux ou rénovés	none	none	doivent en donner le moyen essentiel, qui, pour la ville de Paris, permettra d'alléger chacune des fonctions qu'elle exerce des tâches les moins nobles, les moins fines, les moins uniques
1965-SDAURP_CE_Oct23_GP.xml	1692	un desserrement	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1692	villes nouvelles	none	villes	none
1965-SDAURP_CE_Oct23_GP.xml	1692	"noyaux restructurants"	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1694	des sièges sociaux importants partent	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1694	étudient des "shopping centers" à l'américaine	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1694	des villes nouvelles	none	des villes	none
1965-SDAURP_CE_Oct23_GP.xml	1706	cinq départements nouveaux	none	cinq départements	none
1965-SDAURP_CE_Oct23_GP.xml	1706	les centres urbains nouveaux	none	les centres urbains	none
1965-SDAURP_CE_Oct23_GP.xml	1708	desserrement	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1708	villes nouvelles	none	villes	none
1965-SDAURP_CE_Oct23_GP.xml	1709	centres urbains nouveaux ou rénovés	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1709	l'implantation des divers bâtiments universitaires	none	divers bâtiments universitaires	none
1965-SDAURP_CE_Oct23_GP.xml	1709	à créer	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1711	La constitution de centres urbains intermédiaires	none	centres urbains intermédiaires	none
1965-SDAURP_CE_Oct23_GP.xml	1711	la création d'ensembles universitaires	none	ensembles universitaires	none
1965-SDAURP_CE_Oct23_GP.xml	1713	pourraient quitter la ville	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1713	villes nouvelles	none	villes	none
1965-SDAURP_CE_Oct23_GP.xml	1713	retrouveront la place qui leur manque	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1730	reliant entre eux, et avec le boulevard périphérique, les principaux centres d'activités	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1730	sera prévu	none	none	de façon à canaliser la circulation rapide en dehors de la voirie existante qui n'est pas adaptée à cette fonction
1965-SDAURP_CE_Oct23_GP.xml	1731	La création de ce réseau	none	ce réseau	la sauvegarde des quartiers existants
1965-SDAURP_CE_Oct23_GP.xml	1731	la sauvegarde des quartiers existants	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1735	la création de voies réservées	none	voies réservées	faciliter la circulation des autobus
1965-SDAURP_CE_Oct23_GP.xml	1735	la création de parcs de stationnement d'échange	none	parcs de stationnement d'échange	encourager l'utilisation des transports en commun, dans les zones où la circulation automobile doit être limitée
1965-SDAURP_CE_Oct23_GP.xml	1737	devrait être complété	none	par des liaisons est-ouest	de façon à en assurer la continuité
1965-SDAURP_CE_Oct23_GP.xml	1772	l'aménagement de la région	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1772	l'implantation d'activités variées	none	d'activités variées	none
1965-SDAURP_CE_Oct23_GP.xml	1775	une trame nouvelle	none	une trame	none
1965-SDAURP_CE_Oct23_GP.xml	1775	le développement des réseaux de transport	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1778	l'évolution urbaine	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1778	une transformation semblable	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1778	son expansion	none	none	en ménageant la possibilité d'un recours efficace à divers moyens de transports
1965-SDAURP_CE_Oct23_GP.xml	1901	le développement simultané de l'habitat et des activités	none	offrira de nouvelles possibilités de travail à proximité des résidences	none
1965-SDAURP_CE_Oct23_GP.xml	1903	la constitution de nouveaux centres urbains	none	le développement d'activités tertiaires en banlieue	none
1965-SDAURP_CE_Oct23_GP.xml	1903	le développement d'activités tertiaires	la constitution de nouveaux centres urbains	none	none
1965-SDAURP_CE_Oct23_GP.xml	1932	faut qu'elle soit complétée par des liaisons entre banlieues	none	none	drainer de manière efficace les centres d'activité répartis en banlieue
1965-SDAURP_CE_Oct23_GP.xml	1932	s'étendent à l'échelle régionale	none	none	drainer de manière efficace les centres d'activité répartis en banlieue
1965-SDAURP_CE_Oct23_GP.xml	1957	l'ouverture d'un nouvel aéroport	none	un nouvel aéroport	none
1965-SDAURP_CE_Oct23_GP.xml	1957	le développement du réseau ferroviaire transeuropéen	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	1957	la création d'un système d'autoroutes internationales	none	un système d'autoroutes internationales	none
1965-SDAURP_CE_Oct23_GP.xml	1975	la création de centres nouveaux	none	centres nouveaux	none
1965-SDAURP_CE_Oct23_GP.xml	2072	la construction de 3.300 kilomètres de voies nouvelles	none	3.300 kilomètres de voies nouvelles	none
1965-SDAURP_CE_Oct23_GP.xml	2072	voies nouvelles	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2127	la création de ces aérodromes	none	ces aérodromes	none
1965-SDAURP_CE_Oct23_GP.xml	2127	l'implantation de zones d'activités	la création de ces aérodromes	zones d'activités	none
1965-SDAURP_CE_Oct23_GP.xml	2127	l'expansion urbaine	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2130	la création d'une infrastructure spécialisée	none	une infrastructure spécialisée	none
1965-SDAURP_CE_Oct23_GP.xml	2132	a commencé de transformer les villes	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2132	l'urbanisation les baies	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2132	ont laissé subsister	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2132	conquérant, au-delà, les zones rurales	none	none	pour les peupler de résidences secondaires
1965-SDAURP_CE_Oct23_GP.xml	2132	peupler de résidences secondaires	none	résidences secondaires	none
1965-SDAURP_CE_Oct23_GP.xml	2151	soient conçus	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2151	les aménagements éventuels	leur adaptation	none	none
1965-SDAURP_CE_Oct23_GP.xml	2151	leur adaptation	none	les aménagements éventuels	none
1965-SDAURP_CE_Oct23_GP.xml	2186	faudrait percer de très nombreuses nouvelles voies	none	none	Pour que l’automobile y ait plus largement accès
1965-SDAURP_CE_Oct23_GP.xml	2186	nouvelles voies	none	voies	Pour que l’automobile y ait plus largement accès
1965-SDAURP_CE_Oct23_GP.xml	2186	créer les parcs de stationnement et les garages	none	les parcs de stationnement et les garages	Pour que l’automobile y ait plus largement accès
1965-SDAURP_CE_Oct23_GP.xml	2189	créer un réseau routier souterrain	none	un réseau routier souterrain	none
1965-SDAURP_CE_Oct23_GP.xml	2194	l'urbanisation	le schéma directeur	none	none
1965-SDAURP_CE_Oct23_GP.xml	2196	faudrait construire une cinquantaine d'autoroutes à quatre voies	none	une cinquantaine d'autoroutes à quatre voies	none
1965-SDAURP_CE_Oct23_GP.xml	2214	villes nouvelles	none	villes	none
1965-SDAURP_CE_Oct23_GP.xml	2220	Les villes nouvelles	none	Les villes	none
1965-SDAURP_CE_Oct23_GP.xml	2220	ne seront pas seulement reliées à Paris	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2224	villes nouvelles	none	villes	none
1965-SDAURP_CE_Oct23_GP.xml	2224	l'aménagement d'une infrastructure régionale	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2224	largement conçue pour l'automobile	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2225	compléter le réseau ferré	none	de quelques lignes tangentielles	pour qu'il puisse aussi servir aux échanges les plus importants, de banlieue à banlieue
1965-SDAURP_CE_Oct23_GP.xml	2228	Les nouvelles zones urbaines	none	zones urbaines	none
1965-SDAURP_CE_Oct23_GP.xml	2228	sont conçues pour l'utilisation dominante de l'automobile	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2233	prévoit de multiplier	le schéma directeur	none	pour répondre aux besoins croissants de cette population
1965-SDAURP_CE_Oct23_GP.xml	2256	la multiplication et la densification des zones de loisirs	none	none	permettra une meilleure répartition de la circulation de fin de semaine sur l'ensemble des voies disponibles, facilitant en cela les conditions de cette circulation
1965-SDAURP_CE_Oct23_GP.xml	2259	Le nouveau réseau ferré	none	réseau ferré	none
1965-SDAURP_CE_Oct23_GP.xml	2262	nouveau réseau ferré	none	réseau ferré	none
1965-SDAURP_CE_Oct23_GP.xml	2265	les centres urbains, nouveaux et anciens	none	les centres urbains	de façon à éliminer ou du moins à réduire, les ruptures de charge qui découragent aujourd'hui les voyageurs par la perte de temps, l'inconfort et le désagrément qu'elles leur imposent
1965-SDAURP_CE_Oct23_GP.xml	2266	lignes nouvelles	none	lignes	none
1965-SDAURP_CE_Oct23_GP.xml	2266	sera étudié	none	none	de façon à décharger les lignes de métro les plus encombrées, et à réduire ainsi leur inconfort et les attentes aux correspondances
1965-SDAURP_CE_Oct23_GP.xml	2267	Les tracés nouveaux	none	Les tracés	pour assurer la meilleure diffusion des voyageurs dans Paris, sans changements inutiles
1965-SDAURP_CE_Oct23_GP.xml	2267	seront localisés	none	Les tracés	pour assurer la meilleure diffusion des voyageurs dans Paris, sans changements inutiles
1965-SDAURP_CE_Oct23_GP.xml	2268	seront implantées	none	certaines stations	none
1965-SDAURP_CE_Oct23_GP.xml	2270	la création du réseau express régional (R.E.R.)	Ces principes	réseau express régional	none
1965-SDAURP_CE_Oct23_GP.xml	2270	en cours de construction	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2271	l'extension	Le schéma directeur	none	none
1965-SDAURP_CE_Oct23_GP.xml	2271	la construction de voies nouvelles	none	voies nouvelles	none
1965-SDAURP_CE_Oct23_GP.xml	2279	des différentes routes futures	none	des différentes routes	none
1965-SDAURP_CE_Oct23_GP.xml	2283	la construction d'autoroutes de "dégagement"	none	autoroutes de "dégagement"	none
1965-SDAURP_CE_Oct23_GP.xml	2283	la zone urbanisée	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2308	est donc conçu pour une circulation rapide et continue	none	none	pour une circulation rapide et continue
1965-SDAURP_CE_Oct23_GP.xml	2314	routes nouvelles	none	routes	none
1965-SDAURP_CE_Oct23_GP.xml	2324	une ligne nouvelle	none	une ligne	none
1965-SDAURP_CE_Oct23_GP.xml	2324	soit dessinée	none	ne signifie pas qu'elle doive passer à telle distance du marché-gare de Rungis, à tel angle de l'aérogare d'Orly	none
1965-SDAURP_CE_Oct23_GP.xml	2324	la future préfecture d’Évry	none	préfecture d’Évry	none
1965-SDAURP_CE_Oct23_GP.xml	2324	la construction d'une ligne nouvelle	le peuplement du secteur Sud-Est de la région parisienne, sur la rive gauche de la Seine	une ligne nouvelle	none
1965-SDAURP_CE_Oct23_GP.xml	2328	sont dessinées	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2328	la future agglomération	none	none	c'est moins pour permettre d'aussi longs déplacements, qui resteront peu nombreux, que pour supprimer les ruptures de charge
1965-SDAURP_CE_Oct23_GP.xml	2329	les axes d'urbanisation	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2329	les nouveaux centres urbains	none	centres urbains	none
1965-SDAURP_CE_Oct23_GP.xml	2331	Le réseau nouveau	none	Le réseau	none
1965-SDAURP_CE_Oct23_GP.xml	2348	le nouveau centre de la Défense	none	centre de la Défense	none
1965-SDAURP_CE_Oct23_GP.xml	2349	ses deux prolongements	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2349	la zone à urbaniser	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2349	le futur axe urbain	none	axe urbain	none
1965-SDAURP_CE_Oct23_GP.xml	2351	doivent être implantés des équipements régionaux importants	none	des équipements régionaux importants	none
1965-SDAURP_CE_Oct23_GP.xml	2358	le nouvel aéroport de Paris-Nord	none	aéroport de Paris-Nord	none
1965-SDAURP_CE_Oct23_GP.xml	2359	la nouvelle préfecture du Val d'Oise	none	préfecture du Val d'Oise	none
1965-SDAURP_CE_Oct23_GP.xml	2361	la ville nouvelle qui y est prévue	none	la ville	none
1965-SDAURP_CE_Oct23_GP.xml	2367	la création d'une ligne	le schéma directeur	une ligne	Pour compléter la liaison de Trappes à Melun
1965-SDAURP_CE_Oct23_GP.xml	2369	Le réseau routier futur	none	Le réseau routier	none
1965-SDAURP_CE_Oct23_GP.xml	2392	zones nouvelles	none	zones	none
1965-SDAURP_CE_Oct23_GP.xml	2393	les villes nouvelles à implanter	none	les villes nouvelles	none
1965-SDAURP_CE_Oct23_GP.xml	2398	la ville nouvelle	none	la ville	none
1965-SDAURP_CE_Oct23_GP.xml	2402	la future région urbaine	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2402	l'urbanisation à venir	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2402	préserver	le schéma	none	none
1965-SDAURP_CE_Oct23_GP.xml	2407	de nouvelles lignes très rapides	none	lignes très rapides	none
1965-SDAURP_CE_Oct23_GP.xml	2407	celle construite récemment	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2410	Implantées	none	elles	none
1965-SDAURP_CE_Oct23_GP.xml	2413	Implantées	none	ces gares	none
1965-SDAURP_CE_Oct23_GP.xml	2414	oblige à prévoir de nouveaux aérodromes	La forte croissance du trafic aérien	none	none
1965-SDAURP_CE_Oct23_GP.xml	2414	doit être implanté	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2443	développement prévu	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2443	la modernisation des entreprises existantes	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2443	réserver des surfaces suffisantes	none	none	pour permettre aussi la modernisation des entreprises existantes
1965-SDAURP_CE_Oct23_GP.xml	2443	organiser les zones nouvelles d'activités	none	none	pour permettre aussi la modernisation des entreprises existantes
1965-SDAURP_CE_Oct23_GP.xml	2443	les zones nouvelles d'activités	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2443	l'urbanisation envisagée	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2446	contribuent à créer, hors du centre de Paris, ces éléments d'animation	none	ces éléments d'animation	none
1965-SDAURP_CE_Oct23_GP.xml	2446	doit s'ordonner	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2591	la construction	none	conduit à développer les industries liées au bâtiment et aux travaux publics	none
1965-SDAURP_CE_Oct23_GP.xml	2639	crée un nouvel établissement	none	un nouvel établissement	none
1965-SDAURP_CE_Oct23_GP.xml	2643	une redistribution des activités parisiennes	un besoin d'espace	none	none
1965-SDAURP_CE_Oct23_GP.xml	2653	établissements nouveaux	none	établissements	none
1965-SDAURP_CE_Oct23_GP.xml	2653	reloger des entreprises déplacées	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2653	la rénovation de quartiers anciens	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2654	leur nécessaire modernisation	none	entraînant une augmentation de la surface par emploi	none
1965-SDAURP_CE_Oct23_GP.xml	2654	leur réorganisation	none	entraînant une augmentation de la surface par emploi	none
1965-SDAURP_CE_Oct23_GP.xml	2654	une augmentation de la surface par emploi	leur réorganisation	none	none
1965-SDAURP_CE_Oct23_GP.xml	2670	conserve une multitude de petits établissements	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2670	a prévu de rénover	le plan directeur d'urbanisme de la ville de Paris	none	none
1965-SDAURP_CE_Oct23_GP.xml	2690	bureaux nouveaux	none	bureaux	none
1965-SDAURP_CE_Oct23_GP.xml	2690	s'est implantée	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2715	l'implantation des industries	none	industries	none
1965-SDAURP_CE_Oct23_GP.xml	2718	l'implantation d'activités tertiaires	none	activités tertiaires	none
1965-SDAURP_CE_Oct23_GP.xml	2724	Le transfert de ces établissements	none	conduirait ainsi à implanter environ 650.000 emplois industriels hors de Paris	none
1965-SDAURP_CE_Oct23_GP.xml	2724	la création de nouvelles unités	none	conduirait ainsi à implanter environ 650.000 emplois industriels hors de Paris	none
1965-SDAURP_CE_Oct23_GP.xml	2737	la création du C.N.l.T.	none	C.N.l.T.	none
1965-SDAURP_CE_Oct23_GP.xml	2737	le projet d'aménagement du rond-point de la Défense et de ses abords	la création du C.N.l.T.	none	none
1965-SDAURP_CE_Oct23_GP.xml	2740	les nouveaux établissements	none	établissements	none
1965-SDAURP_CE_Oct23_GP.xml	2740	s'installeraient	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2740	en s'éparpillant	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2742	finiraient par se constituer	none	des groupements	none
1965-SDAURP_CE_Oct23_GP.xml	2742	attirerait d'autres entreprises	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2742	prendrait l'initiative d'ériger un centre commercial	none	un centre commercial	none
1965-SDAURP_CE_Oct23_GP.xml	2747	l'aménager	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2747	les centres nouveaux	none	les centres	none
1965-SDAURP_CE_Oct23_GP.xml	2747	puissent être aisément reliés entre eux	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2747	une croissance anarchique	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2747	regroupements spontanés et tardifs	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2752	l'implantation de nouveaux noyaux d'emplois	none	nouveaux noyaux d'emplois	none
1965-SDAURP_CE_Oct23_GP.xml	2752	nouveaux noyaux d'emplois	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2753	les futurs centres urbains	none	centres urbains	none
1965-SDAURP_CE_Oct23_GP.xml	2753	ne pas quitter la région parisienne	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2753	doivent y demeurer	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2754	remplir les nouveaux centres	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2754	les nouveaux centres	none	centres	none
1965-SDAURP_CE_Oct23_GP.xml	2756	En créant des noyaux d'emplois	none	des noyaux d'emplois	none
1965-SDAURP_CE_Oct23_GP.xml	2756	axes préférentiels d'urbanisation	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2767	villes nouvelles	none	villes	none
1965-SDAURP_CE_Oct23_GP.xml	2767	accueilleront des activités largement diversifiées	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2781	le développement, plus ou moins important, plus ou moins rapide, de nouveaux centres urbains	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2781	nouveaux centres urbains	none	centres urbains	none
1965-SDAURP_CE_Oct23_GP.xml	2783	villes nouvelles	none	villes	none
1965-SDAURP_CE_Oct23_GP.xml	2785	villes nouvelles	none	villes	none
1965-SDAURP_CE_Oct23_GP.xml	2793	l'expansion parisienne doit s'ordonner	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2793	réserve les espaces nécessaires	il	none	none
1965-SDAURP_CE_Oct23_GP.xml	2793	en les disposant	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2795	la constitution des nouveaux centres urbains	none	nouveaux centres urbains	none
1965-SDAURP_CE_Oct23_GP.xml	2802	les centres à créer	none	les centres	none
1965-SDAURP_CE_Oct23_GP.xml	2805	villes nouvelles	none	villes	none
1965-SDAURP_CE_Oct23_GP.xml	2805	les centres urbains nouveaux	none	les centres urbains	none
1965-SDAURP_CE_Oct23_GP.xml	2805	va s'organiser	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2810	pourront aussi s'implanter	none	les établissements les moins gênants	none
1965-SDAURP_CE_Oct23_GP.xml	2810	en s'intégrant	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2870	prévoyant des centres urbains nouveaux	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2870	des centres urbains nouveaux	none	des centres urbains	none
1965-SDAURP_CE_Oct23_GP.xml	2876	sera "décloisonnée"	none	par des réseaux ferroviaires et routiers à son échelle	none
1965-SDAURP_CE_Oct23_GP.xml	2876	les centres urbains nouveaux	none	les centres	none
1965-SDAURP_CE_Oct23_GP.xml	2889	créer les aménagements de loisir	none	les aménagements de loisir	none
1965-SDAURP_CE_Oct23_GP.xml	2906	l'urbanisation	none	sous forme de résidences secondaires ou principales	none
1965-SDAURP_CE_Oct23_GP.xml	2906	s'en approche et atteint leur lisière	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2906	en vue d'être loties et construites	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2922	une ville nouvelle	none	une ville	none
1965-SDAURP_CE_Oct23_GP.xml	2925	pavillons implantés	none	pavillons	none
1965-SDAURP_CE_Oct23_GP.xml	2925	dispersant l'habitat	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2925	regroupant en grappes	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2925	réaliser une occupation du sol	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2927	L'extension du périmètre d'agglomération	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2927	doit permettre, hors de ce périmètre, d'éviter que la campagne ne perde l'aspect naturel qui fait son charme	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2927	en empêchant l'implantation désordonnée des résidences secondaires	none	résidences secondaires	doit permettre, hors de ce périmètre, d'éviter que la campagne ne perde l'aspect naturel qui fait son charme
1965-SDAURP_CE_Oct23_GP.xml	2928	la construction d'une habitation individuelle	none	une habitation individuelle	none
1965-SDAURP_CE_Oct23_GP.xml	2928	la construction d'un grand nombre d'habitations secondaires	none	un grand nombre d'habitations secondaires	none
1965-SDAURP_CE_Oct23_GP.xml	2932	Une dispersion anarchique	none	entraînerait rapidement la pollution de ces cours d'eau	none
1965-SDAURP_CE_Oct23_GP.xml	2933	permettra de sauvegarder et même d'améliorer le caractère de zone de détente	La prise en compte de l'ensemble de la région par le schéma directeur, et par les plans d'urbanisme plus détaillés	none	none
1965-SDAURP_CE_Oct23_GP.xml	2933	doit demeurer	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2945	complété par un auditorium de 3.000 places	none	par un auditorium de 3.000 places	none
1965-SDAURP_CE_Oct23_GP.xml	2946	est à créer	none	un grand parc de la culture scientifique	none
1965-SDAURP_CE_Oct23_GP.xml	2947	pourrait être implanté	none	Il	none
1965-SDAURP_CE_Oct23_GP.xml	2948	constituer un tel parc	none	un tel parc	none
1965-SDAURP_CE_Oct23_GP.xml	2948	agrandir le palais de la Découverte	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2948	reconstituer un musée des Travaux publics	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2949	concevoir un vaste musée des techniques	Le regroupement de cet ensemble de collections	none	none
1965-SDAURP_CE_Oct23_GP.xml	2958	villes nouvelles	none	villes	none
1965-SDAURP_CE_Oct23_GP.xml	2965	construire des logements	none	logements	none
1965-SDAURP_CE_Oct23_GP.xml	2971	construire pour 50.000 habitants exactement cinq fois les équipements nécessaires pour 10.000	none	cinq fois les équipements nécessaires pour 10.000	none
1965-SDAURP_CE_Oct23_GP.xml	2974	doter chaque commune ou chaque quartier	none	des équipements correspondant à la norme pour que les besoins des habitants de la région se trouvent satisfaits	none
1965-SDAURP_CE_Oct23_GP.xml	2977	réaliser tous les équipements souhaitables	none	conduirait à constituer une juxtaposition d’installations toujours, insuffisantes, de qualité médiocre, implantées au hasard des possibilités foncières	none
1965-SDAURP_CE_Oct23_GP.xml	2977	conduirait à constituer une juxtaposition d’installations	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2977	implantées	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2980	les secteurs d'urbanisation nouvelle	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2980	peuvent se faire la plupart des réalisations	none	en équipements groupés en "parcs"	none
1965-SDAURP_CE_Oct23_GP.xml	2992	les extensions, d'une superficie égale à celle de l'agglomération présente	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	2992	constituant, autour de centres urbains nouveaux, de véritables villes nouvelles	none	de véritables villes nouvelles	none
1965-SDAURP_CE_Oct23_GP.xml	3001	un resserrement et un engorgement des lieux habités	none	accroîtraient les coûts futurs des investissements comme les frais immédiats de fonctionnement de la vie urbaine	none
1965-SDAURP_CE_Oct23_GP.xml	3014	un renouveau de beauté	le schéma directeur	none	none
2005-Reichen_CE_Oct23.xml	22	naîtrait spontanément	none	une ville émergente	none
2005-Reichen_CE_Oct23.xml	38	Transformer une grande filature	none	en logements	none
2005-Reichen_CE_Oct23.xml	41	production de la ville	none	la ville	none
2005-Reichen_CE_Oct23.xml	98	cette ville nouvelle, claire et bien dessinée	none	cette ville	none
2005-Reichen_CE_Oct23.xml	98	donner de l’épaisseur au centre-ville	le tramway	none	none
2005-Reichen_CE_Oct23.xml	98	une transformation mesurée qui est menée	none	none	none
2005-Reichen_CE_Oct23.xml	116	réinstaller une pièce urbaine exemplaire	none	une pièce urbaine exemplaire	none
2005-Reichen_CE_Oct23.xml	116	conçue	none	none	none
2005-Reichen_CE_Oct23.xml	135	était transformé	none	par la mise en place de l’une des plus belles vidéo-installations de Bill Viola	none
2005-Reichen_CE_Oct23.xml	137	la livraison des bâtiments	none	bâtiments	none
2005-Reichen_CE_Oct23.xml	139	D’autres grands développements ont été ensuite réalisés	none	le O’Centro, l’un des plus grands centres commerciaux d’Europe	none
2005-Reichen_CE_Oct23.xml	145	la tour – construite	none	la tour	none
2005-Reichen_CE_Oct23.xml	145	permet de composer un espace inédit	none	un espace inédit	none
